address,authority,latitude,longitude
2763 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99478176,31.03194614
3034 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99516129,31.02895139
2744 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99501492,31.03075967
NULL,CHITUNGWIZA MUNICIPALITY,-17.99560233,31.02993845
NULL,CHITUNGWIZA MUNICIPALITY,-17.99433405,31.03151374
3031 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99506513,31.02921517
NULL,CHITUNGWIZA MUNICIPALITY,-17.9945578,31.03045884
2987 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99580341,31.02872649
2770 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99547112,31.03128796
2673 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99426243,31.03227332
NULL,CHITUNGWIZA MUNICIPALITY,-17.99553954,31.03038923
2813 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99602456,31.02976005
2765 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99478471,31.03205681
2691 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99436987,31.03128168
2754 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99494925,31.03135217
2728 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99513593,31.02984622
2701 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99443576,31.03067287
2709 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99447523,31.03025219
2798 4211 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99564254,31.02968591
2766 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99486218,31.03204058
3016 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99531496,31.02820827
2865 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99635921,31.03052605
6823 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.9940558,31.03069473
2714 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99465876,31.03001758
NULL,CHITUNGWIZA MUNICIPALITY,-17.99503558,31.02998051
2825 1596 DEVE STREET,CHITUNGWIZA MUNICIPALITY,-17.99593315,31.0304553
2779 CHIRATIDZO ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99536705,31.03072384
2753 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99492343,31.03146506
2730 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99511527,31.02995099
6833 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99416577,31.02976064
2829 4173 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99591156,31.03065179
2776 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99547253,31.03093595
2677 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99428392,31.03206811
3019 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99527096,31.02857487
2760 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99489908,31.03169084
NULL,CHITUNGWIZA MUNICIPALITY,-17.99461199,31.03011541
2809 ST MARYS ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99605767,31.0295499
2757 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99483931,31.03160672
2787 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.9954168,31.03026717
2671 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99423593,31.03239615
6805 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99385536,31.03240863
2748 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99499647,31.03101497
2978 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99621812,31.02790675
6815 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99396702,31.03147079
6816 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99397649,31.0313762
2805 229 JEKACHEKA ROAD,CHITUNGWIZA MUNICIPALITY,-17.99607134,31.02932463
2790 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99562904,31.03017889
2710 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99462885,31.03024731
2739 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99498393,31.03040108
"2814 60 CHIEDZA ROAD
",CHITUNGWIZA MUNICIPALITY,-17.99614874,31.02980133
2788 CHIRATIDZO ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99556776,31.03027354
2778 CHIRATIDZO ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99550568,31.03083366
2708 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99455634,31.03033875
6804 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99384526,31.03250282
"2674 ST MARYS 
",CHITUNGWIZA MUNICIPALITY,-17.99435794,31.0323141
